"Derwent Innovation Patent Export, 2020-09-05 10:53:04 +0000 "
标题 - DWPI,标题 (原文),标题 (英语),摘要 - DWPI,摘要 (原文),摘要 (英语),专利权人 - DWPI,优先权日 - DWPI,优先权日,优先权日 - 最早
"Composite finish oil for colored terylene embroidery thread is obtained by adding preset amount of smoothing agent, talcum nano-powder and anti-foamer with spinning finish oil and stirring the resulting mixture","一种能高效提高有色涤纶绣花线可纺性的油剂","A finish oil capable of efficiently improving spinning of colored terylene embroidery thread","A composite finish oil is obtained by adding smoothing agent (0.5-2%), talcum nano-powder (0.3-0.6) having grain diameter of less than 15 nm and anti-foamer (0.1-0.6%) with spinning finish oil and stirring at 35-45° C. | Composite finish oil for colored terylene embroidery thread. | The composite finish oil is produced with suppressed generation of jam or scale and improves the spinning process of terylene colored thread. The composite finish oil provides terylene colored thread having improved surface smoothness. The terylene colored thread provides high quality and stable embroidery thread having excellent embroidery performance. | Preferred Composition: The smoothing agent, talcum nano-powder and anti-foamer are mixed in the ratio of 3:1:1. Preferred Method: The generation of jam or scale is observed in the manufacturing of composite finish oil.","本发明提供了一种含特殊成分的、用来改善有色涤纶绣花线可绣性的复合油剂。其特征在于：在普通的纺丝油剂中加入0.5～2％的超级平滑剂、0.3～0.6％的纳米滑石粉(粒径要求≤15nm)以及0.1～0.6％的消泡剂，在35～45℃的温度下，经过充分搅拌后制得。在纺丝过程中使用该配方的复合油剂，可以有效提高涤纶色丝的表面爽滑性能，生产过程中基本上无毛丝出现。利用这种涤纶色丝为原料，制作的洚纶绣花线可以很好的适应高速电脑绣花的要求，提高其可绣性，而且绣品质量稳定。","The invention claims a composite finish oil containing special ingredients for improving spinning of the colored terylene embroidery thread, wherein it is made by adding 0.5-2 % super smooth agent, 0.3-0.6% nanometer talcum power (the grain size is required less than 15 nm) and 0.1-0.6% antifoam agent in the common spinning finish oil, after stirring completely at the temperature 35-45 centigrade. Using the composite finish oil with the formulation in the spinning process can effectively improve the surface smooth capacity of the terylene colored thread, and there is basically not fuzz appeared in the producing process. Using this terylene colored thread as material, the manufactured terylene embroidery thread can adapt to the request of quick computer embroidering to improve the embroidering performance; and the quality of the embroidering product is stable.","SHENGHONG GROUP CO LTD","2007-11-28","2007-11-28","2007-11-28",
"Electric heating nonwoven fabric comprises strong polyamide fiber and carbon fiber filament heater woven in radial direction or in opposite directions to barrier shape","电热无纺布","Electric heating non-woven fabrics","An electric heating nonwoven fabric comprises strong polyamide fiber and carbon fiber filament heater (heating rate of 99.9%, electric heating conversion of 30% more than metal fiber) in the radial direction or carbon fiber and strong polyamide fiber in opposite directions woven to a barrier shape on a weaving machine and made into a middle layer. A net is spread in parallel to the nonwoven fabrics. At least one of the fabric faces is covered by fiber net with natural cotton short fiber and/or polyester and reinforced with spunlace. The other face may be coated with thermal material. | An INDEPENDENT CLAIM is included for production of the electric heating nonwoven fabric comprising weaving strong polyamide fiber and carbon fiber filament heater to a barrier shape; making the barrier shaped fabric into a middle layer and spreading a net in parallel to the nonwoven fabric; and connecting two edges of the nonwoven fabrics by lead or conductive metal foil to two poles. | An electric heating nonwoven fabric. | The utilization rate of the carbon fiber is ensured. The heating generation is high. The preparation process is easy. The production value of the product is increased.","本发明提供一种发热效率高、制热安全的电热无纺布，以强力锦纶为径向，碳纤维长丝或碳纤维长丝与强力锦纶纱线为维向，在布机上进行织造，织造成栏栅状织物，以此为中间层，平行铺网成无纺布，布两面用天然棉纤维短纤或涤棉混合的短纤纤维网覆盖，利用水刺进行加固，保障了碳纤维的使用率，同时避免了碳纤维导电时的相互影响，发热效率高，工序简单，提高了产品的生产价值，有较好的经济和社会效益。","This invention claims an electric heating non-woven fabrics with high heat generating rate, safe heating, mightiness polyamide fibre is made to be radial direction, carbon fibre filament or carbon fibre filament and mightiness polyamide fibre are made to be dimension direction, they are weaved to be barrier shaped on weaving machine, it is made to be the middle layer, net is spread in parallel to be the non-woven fabrics, two faces of the fabrics are covered by fibre net with short fibre which is mixed by natural cotton fibre short fibre or polyester, spunlace is used to reinforce, then ensure the using rate of the carbon fibre, and prevent the interplay when the carbon fibre is conducted, the heating generating rate is high, the process is easy, that is to increase the producing value of the product, and it has good economic and social benefit.","SHENGHONG GROUP CO LTD","2007-12-10","2007-12-10","2007-12-10",
"Concrete structure palisade-type textiles protecting and weaving method, involves weaving palisade-type textiles with warp and weft density, and packing high intensity nylon fiber on reinforcement frame","保护混凝土结构纺织品的织造","Weaving method of the textiles for protecting the concrete structure","The method involves weaving palisade-type textiles with a warp and weft density, according to high intensity high modulus fiber, which is a filament of Vectran and Zylon. The high intensity nylon fiber is blended to 20 to 40 yarns and packed on a reinforcement frame at concrete 2 to 5 centimeter from edge of the column or guardrail, after casting the textiles are fixed in the concrete structure. The outer layer is cast with the concrete. | Method for weaving and protecting palisade-type textiles of a concrete structure. | The method improves the brittle failure characteristic of the concrete and the tenacity and the impact resistance of the concrete, and reduces the contraction crack of the concrete. The method improves the impermeability and freeze proof performance of the concrete, thus reducing production cost. The method has simple weaving process and better economic and social benefit.","本发明提供一种保护混凝土结构栏栅型织物的全新织造理念及其方法，以高强度高模数纤维(如Vectran、Zylon等的长丝)，与高强锦纶纤维混纺20-40支纱线，织造成经纬密不高于20根/10厘米的栏栅型织物，能改善混凝土的脆性破坏特征，减少混凝土的收缩裂缝，提高混凝土的韧性和抗冲耐磨性，同时能改善混凝土的抗渗、抗冻等特性，生产成本低，织造过程简单，有较好的经济和社会效益。","The invention claims a new waving idea and method thereof for protecting the palisade-type textiles of the concrete structure, based on the high intensity high modulus fibre (such as the filament of Vectran, Zylon), and the high intensity nylon fibre blending 20-40 yarns, to weave the palisade-type textiles with the warp and weft density no more than 20 per 10cm, which can improve the brittle failure characteristic of the concrete, reduce the contraction crack of the concrete, improve the tenacity and the impact resistance of the concrete, and meanwhile improve the impermeability and freeze proof performance of the concrete, have low production cost, simple weaving process, and have good economic and social benefit.","SHENGHONG GROUP CO LTD","2007-12-10","2007-12-10","2007-12-10",
"Aba for e.g. petroleum, has organic conductive fiber and wool fiber mixed to generate yarn with antistatic property on normal wool spinning product line, and air blasting or twining provided to work up on braiding machine by spraying water","一种具有永久抗静电性能的毛织物","An aba with permanent antistatic property","The aba has organic conductive fiber and wool fiber mixed to generate yarn with antistatic property on normal wool spinning product line. Air blasting or twining is provided to work up on a braiding machine by spraying water. Rate of the conductive fiber in textile fabric is 0.2 to 1.5 percentages, where the conductive fiber is multi kinds of nylon base carbon fiber or acrylics base carbon fiber. The conductive fiber and the wool fiber are standard wool-type chopped fiber. | Aba for petroleum, instrument, weaving, printing, plastic, communication and medical care. | The aba has well and permanent static resistance capacity, and the chemical property of each component is steady. The aba eliminates the influence and harm of the static property.","本发明的目的在于提供一种具有永久抗静电性能的毛织物。它是将有机导电纤维与羊毛纤维混合后于普通的毛纺生产线上生产出具抗静电性能的纱线，最后于喷水、喷气或经编机上进行织造、整理从而制得的。本发明所述导电纤维可以是尼龙基碳纤维或腈纶基碳纤维的一种或几种，其混合比例没有特别要求。所述导电纤维及羊毛纤维为短纤，规格毛型，线密度3～6dtex/dpf，切断长度85～96mm。该毛织物抗静电效果良好且持久，而且所含各成分化学性能稳定、对人体无害，特别适用于石油、仪表、纺织、印刷、塑料、通讯、医疗等部门和行业，以消除静电的影响和危害。","The invention claims an aba with permanent antistatic property, mixing the organic conductive fibre and the wool fibre, to generate yarn with antistatic property on the normal wool spinning product line, to prepare by spraying water, blasting air or twining, working up on the braiding machine at last. Said conductive fibre of the invention can be one or multi kinds of nylon base carbon fibre or acrylics base carbon fibre, the mixing rate thereof does not have especial request, said conductive fibre and wool fibre are chopped fibre, standard wool-type, the line density is 3~6dtex/dpf, the cut length is 85~96mm. The aba has well and permanent static resistance capacity, and the chemical property of each component is steady, non deleterious to the people, is especially suitable for many departments and works, such as petroleum, instrument, weaving, printing, plastic, communication, medical care and so on, to eliminate the influence and harm of the static.","SHENGHONG GROUP CO LTD","2007-11-28","2007-11-28","2007-11-28",
"Sizing and conditioning a high pure cotton core-yarn by separately boiling starch sizing agent comprising chloroprene and polyvinyl alcohol sizing material, increasing temperature, and reducing bubble of sizing liquid","包覆纱的上浆及调浆方法","Method of sizing and conditioning of wrap yarn","Sizing and conditioning a high pure cotton core-yarn comprises separately boiling a starch sizing agent and a polyvinyl alcohol (PVA) sizing material, where the sizing agent comprises chloroprene (CP) (15-25 kg) and SE-301 (3kg); increasing the temperature; adding water,   PVA 1799  (RTM: polyvinyl alcohol) (25-32.5 kg), and   PVA 205  (RTM: polyvinyl alcohol) (20-30 kg); adding P-T (3-4 kg) and JFC (2 kg); adding S-52D (3-4 kg), and increasing the temperature to 95° C; reducing bubble of PVA sizing liquid; and placing the starch slurry in a supported barrel at 95° C. | Sizing and conditioning a high pure cotton core-yarn comprises preparing sizing agent; separately boiling the starch sizing agent and a PVA sizing material, and the starch sizing agent comprising CP sizing agent (15-25 kg) and SE-301 (3kg), are mixed uniformly with water for 10-15 minutes; opening a high-pressure heat steam to increase the temperature after the block dispersed; increasing the temperature to 70 degrees for 15 minutes; re-increasing temperature to 110° C; closing air valve, thus the sizing of PVA slurry is at normal pressure; adding water,   PVA 1799  (RTM: polyvinyl alcohol) (25-32.5 kg), and   PVA 205  (RTM: polyvinyl alcohol) (20-30 kg), and increasing the temperature; adding P-T (3-4 kg) and JFC (2 kg), increasing the temperature to 60° C for 15 minutes; adding S-52D (3-4 kg), and increasing the temperature to 95° C for 10-15 minutes; reducing bubble of PVA sizing liquid, and increasing the temperature, the high-pressure steam in the barrel is released to PVA slurry barrel to mix equally after boiling the starch slurry for 30 minutes; and placing the starch slurry in a supported barrel at 95° C. | Method for sizing and conditioning a high pure cotton core-yarn. | The method improves tenacity of the cotton, stabilizes viscosity of serum, and reduces sizing rate control difficulty brought by the fluctuation of serum viscosity in the sizing process.","本发明提供一种高支纯棉纱芯包覆纱的上浆及调浆方法，选择PVA、变性淀粉包括CP浆料为主浆料对高支包覆纱进行上浆，增加了PVA205的用量，使浆液流动性增强，利于浆液渗入纱线内部，同时可以改善浆膜的柔软性，使浆膜柔软且具有韧性，所采用的调浆方法可以稳定浆液的粘度，减少上浆过程中浆液粘度波动而引起的上将率控制难度，浆液质量稳定，浆料之间混溶性好，不易起层，浆液粘度能较长时间保持在同一水平不变，渗透和披覆得到保障，浆纱分绞过程中再生毛羽少，有很高的产品生产价值。","The invention claims a method of sizing and conditioning for a high pure cotton core-yarn, the PVA and denaturalization starch comprising CP sizing agent are selected as the main sizing agent to sizing high wrap yarn, the PVA205 dosage is increased to strength the flow of the zing liquid for infusing into the inner of yarn, meanwhile, the softy of the chorion is improved to have tenacity, the used conditioning method may stabilize viscosity of serum, and reduce sizing rate control difficulty brought by the fluctuate of serum viscosity in the sizing process, the serum quality is stable, the compatibility among sizing agents is good and is not easy to take off , the serum viscosity may keep in the same level for a long time, the infusion and infiltration, and cover are protected, the rebirth weather in the yarn divided process is less, it has a high product production value.","SHENGHONG GROUP CO LTD","2007-12-10","2007-12-10","2007-12-10",
"Size mixing method of sizing paste for natural colored cotton fiber and apocynum fiber blended yarn involves mixing main paste containing polyvinyl alcohol, modified starch and emulsified oil, and heating at preset temperature","混纺纱线上浆浆料的调浆","Size mixing of blended yarn sizing paste","Starch paste is poured into size mixing kettle and mixed uniformly after adding water, for 10-15 minutes.  PVA1799  (RTM: polyvinyl alcohol) and  PVA205  (RTM: polyvinyl alcohol) are slowly added to the kettle and heated by supplying high pressure steam. P-T and NF-100 are added to the kettle and the contents are heated to 60° C after 15 minutes. Emulsified oil and S-52D are added and heated to 95° C for 10-15 minutes. The paste is immersed in water at room temperature for 20 hours before size mixing and a sizing paste is prepared. | Starch paste is poured into size mixing kettle and mixed uniformly after adding water, for 10-15 minutes.  PVA1799  (RTM: polyvinyl alcohol) and  PVA205  (RTM: polyvinyl alcohol) are slowly added to the kettle and heated by supplying high pressure steam. P-T and NF-100 are added to the kettle and the contents are heated to 60° C after 15 minutes. Emulsified oil and S-52D are added and heated to 95° C for 10-15 minutes. The paste is immersed in water at room temperature for 20 hours before size mixing and the foaming is reduced by repeated heating. The paste is processed for 60 minutes and a sizing paste is prepared. The sizing paste contains (in kg) oxidized and etherified starch (15-25),  PVA1799  (RTM: polyvinyl alcohol) (25-37.5) and  PVA205  (RTM: polyvinyl alcohol) (10-15), LMA-98 (12), P-T (3-4), S-52D (3), NF-100 (2-3) and emulsified oil (1.25). | Size mixing method of sizing paste for natural colored cotton fiber and apocynum fiber blended yarn. | The sizing paste produces sized fiber having favorable surface, reduced fluffing, favorable flexibility and improved weaving property.","本发明提供一种天然彩棉纤维和罗麻纤维混纺纱线上浆浆料的调浆方法，主浆料选用完全醇解1799PVA与PVA205MB并用，再与变性淀粉混用，辅以渗透剂和柔软剂，浆纱表面光洁、毛羽少，浆膜柔韧而耐磨，分纱时，落浆物少，断头少，同时能够稳定浆液的粘度，减少上浆过程中浆液粘度波动而引起的上将率控制难度，浆液质量稳定，不易起层，浆液粘度能较长时间保持在同一水平，浸透率与被覆率均得到改善，能保证毛羽的贴服，浆膜的强度得到保障，提高了纱线在布机上的织造效率。","The invention claims a size mixing method for natural coloured cotton fibre and apocynum fibre blended yarn sizing paste, main paste is selected and used from completely alcoholysis 1799PVA and PVA205MB simultaneously, then putting off with modified starch, assisting penetrating agent and softening agent, surface of the sized yarn is glabrous and with little filoplume, serous membrane is flexile and wearable, when dividing yarn, there are little falling object and little broken-ends, at the same time the viscosity of serous fluid can be stabled, the difficulty to control sizing ratio caused by fluctuate of viscosity of serous fluid in sizing course is reduced, the quality of the serous fluid is stable, not easy to generate layer, the viscosity of serous fluid can be kept in the same level for a long time, the soaking radio and covering radio can be improved, glue of the filoplume can be ensured, intensity of the serous membrane can be ensured, weaving effect of the yarn on loom is improved.","SHENGHONG GROUP CO LTD","2007-12-10","2007-12-10","2007-12-10",
"Manufacture of decorative non-woven fabric involves infusing base fabric by serum, removing serum by infused pressing roll, drying, spilling golden or silver powder between infusion serum and infusion pressing roll","一种装饰无纺布的生产方法","A manufacturing method for decorative non-woven fabric","The base fabric formed by spreading net is infused by serum. The serum is removed by infused pressing roll, dried, golden or silver powder is spilled between the infusion serum and infusion pressing roll of the base fabric. | Manufacture of decorative non-woven fabric. | The method provides decorative non-woven fabric having excellent illumination effect without picking problem.","一种装饰无纺布的生产方法，涉及一种无纺布的加工技术。将经铺网形成的基布经浆液浸渍后，洒入金或银粉，再由浸渍压辊压去除部浆液，最后，再进行烘干、成形。本发明可实现金、银粉的充分固定，避免产品在生产、运输、使用过程中过多的掉粉现象，形成的产品闪光面积大而均匀，光照或反光效果好。","A manufacturing method for decorative non-woven fabric, referring to a process technology of non-woven fabric, wherein after the basal fabric formed by spreading net is infused by serum, spill golden or silver powder; removing serum by infused pressing roll; process drying, forming finally. This invention could fix the golden or silver powder enough, avoid picking problem during producing, transporting, using procedure. The flash area of the formed product is large and symmetrical; the illumination or reflection effect is excellent.","YANGZHOU HANJIANG NON WOVEN FACTORY","2007-12-07","2007-12-07","2007-12-07",
"Driving mechanism for making gear implement reciprocating rotation in textile machinery device e.g. ramee soft-hemp machine, has dual articulated gear meshed with gear, where another dual articulated gear is meshed with another gear","一种使齿轮进行往复转动的传动机构","A driving mechanism of making gear implement reciprocating rotation","The mechanism has a dual articulated gear Z3 (4), and a dual articulated gear Z1 (1) provided on a power input shaft (2). The gears are half-tooth gear, and phase difference of half-tooth of both gears is 180 degrees. One articulated gear is meshed with a gear Z2 (3), where the other gear is meshed with a gear Z4 (6). The gear Z2 is meshed with one gear of dual articulated gear Z3 (4), and the other gear of dual articulated gear Z3 is meshed with power output gear Z5 (5). The power output gear Z5 is meshed with the gear Z4. | Driving mechanism for use in textile machinery device such as ramee soft-hemp machine to make rotor such as roller and leather roller implement reciprocating rotation and gear implement reciprocating rotation. | The mechanism is simple in structure, stable and relaxative running, small vibration and low noise. | The drawing shows a side view of a driving mechanism.1Dual articulated gear Z13Gear Z24Gear Z35Output gear Z56Gear Z4","本实用新型涉及一种使齿轮进行往复转动的传动机构，由双联齿轮Z1、齿轮Z2、双联齿轮Z3、齿轮Z4及动力输出齿轮Z5组成，双联齿轮Z1安装固定在动力输入轴上，其两只齿轮均为半边齿齿轮，且两只齿轮的半边齿的相位相差180°，其中的一只齿轮与齿轮Z2啮合，另一只齿轮与齿轮Z4啮合，齿轮Z2与双联齿轮Z3中的一只齿轮啮合，双联齿轮Z3中的另一只齿轮与动力输出齿轮Z5啮合，动力输出齿轮Z5与齿轮Z4啮合。该传动机构应用到苎麻软麻机等纺织机械设备，能够使罗拉、皮辊等转动体产生往复转动。传动机构结构简单，运行平稳缓和，振动和噪声小。","This invention claims a driving mechanism of making gear implement reciprocating rotation, comprising dual articulated gear Z1, gear Z2, dual articulated gear Z3, gear Z4 and power output gear Z5; dual articulated gear Z1 is set on power input shaft, both gears are half-tooth gear, phase difference of half-tooth of both gears is 180 degrees, one gear is meshed with gear Z2, while the other gear is meshed with gear Z4; the gear Z2 is meshed with one gear of dual articulated gear Z3, and the other gear of dual articulated gear Z3 is meshed with power output gear Z5, power output gear Z5 is meshed with gear Z4. This driving mechanism is used in textile machinery device such as ramee soft-hemp machine to make rotor such as roller and leather roller implement reciprocating rotation. This driving mechanism has simple structure, stable and relaxative running, small vibration and low noise.","CHONGQING FULING JINDI IND GROUP CO LTD","2007-07-03","2007-07-03","2007-07-03",
"Ramie washing machine used for ramie rinsing, pickling, washing and oil feeding has driving mechanism which drives harrow to rotate corresponding to ramie washing tank while reciprocating along lengthways direction of ramie washing tank","一种苎麻洗麻机","A ramie washing machine","A ramie driving device is installed on a ramie washing tank (10) that is supported on the frame. The ramie driving device includes the bent shafts (13), a connecting rod (12) set in hinge joint between bent shafts and a harrow (11) welded on the connecting rod. A driving mechanism is connected with the ramie driving device. The driving mechanism drives the harrow to rotate corresponding to ramie washing tank while reciprocating along the lengthways direction of ramie washing tank. | Ramie washing machine used for ramie rinsing, pickling, washing and oil feeding. | Ensures reliable operation to make the ramie de-glued process such rinsing and washing more evenly. | The drawing shows the sectional view of ramie washing machine.8Speed reducer10Ramie washing tank11Harrow12Connecting rod13Bent shafts","本实用新型涉及一种在苎麻脱胶工艺中使用的设备，具体说是用于苎麻的漂洗、酸洗、水洗及给油的苎麻洗麻机。包括机架、支撑在机架上的洗麻槽、安装在洗麻槽上的驱麻装置，及与驱麻装置连接的传动机构，驱麻装置由两根曲轴、铰接在两根曲轴之间的连杆，及焊接在连杆上的抓耙组成，传动机构可带动抓耙在洗麻槽内沿洗麻槽纵向作往复运动，可使苎麻的漂洗、酸洗、水洗及给油更加均匀，并且该种结构的苎麻洗麻机运行可靠。","The utility model claims a device used in the ramie de-glued process, specifically speaking, a ramie washing machine for ramie rinsing, pickling, washing and oil feeding. It comprises a frame, a ramie washing tank supported on the frame, a ramie driving device equipped on the ramie washing tank, and a driving mechanism connected with the ramie driving device; the ramie driving device is comprised of two bent shafts, a connecting rod in hinge joint between two bent shafts, and a harrow welded on the connecting rod; the driving mechanism can drive the harrow to do reciprocating move along the lengthways direction of ramie washing tank in the ramie washing tank, to make the ramie rinsing, pickling, washing and oil feeding more evenly; and this structure of ramie washing machine is reliable to operate.","CHONGQING FULING JINDI IND GROUP CO LTD","2007-06-21","2007-06-21","2007-06-21",
"Permeable acid-alkali-oil-water-proof fabric finishing method","透汽性防酸碱防油防水织物整理方法","permeable anti-alkali anti-oil-proof texture arranging method","An arrangement method for gas permeation, alkali, oil and waterproof fabric applies coating first and arrangement later to increase the acid-proof infiltration performance of the fabric. The coating is the PAA or PU water-base or solvent resin, the acid-proof arrangement applies polymer material with F and applies hydrophilic polymer material to modify the coat fabric, the hydrophilic resin is thePVA resin. This invention increases the thickness of F-protection film on the surface of fabric and fiber and volume of gas permeation coating resin to stop acid and alkali solution from contacting with fibers and penetrating into the inside of the fiber material.","透汽性防酸碱防油防水织物整理方法，采用先涂层后整理的方法提高织物的防酸渗透性能；用于织物涂层的高分子材料主要有聚丙烯酸类水性或溶剂型树脂或聚氨酯类水性或溶剂型树脂；防酸整理采用含氟高分子材料。用亲水性高分子材料对涂层织物进行改性，亲水性树脂是聚乙烯醇树脂。本发明采取了提高织物和纤维表面氟保护膜的厚度和增加透湿(汽)涂层树脂的用量，彻底阻止酸碱液体直接接触纤维并渗透到纤维材料内部，从而完满的解决了全棉织物防酸碱防油防水加工整理的技术难题。","permeable anti-alkali anti-oil-proof texture arranging method, adopts the method of firstly coating finishing improves penetrability of fabric, fabric coating for polymer material mainly comprises polyacrylic acid aqueous or solvent resin or polyurethane aqueous or solvent resin; finishing uses fluorine-containing polymer material. to modify the coating fabric with a hydrophilic polymer material, the hydrophilic resin is a polyvinyl alcohol resin. The invention adopts the fabric and fibre surface-protection film thickness and increase moisture (steam) coating of resin dosage, completely prevents acid-alkali liquid directly contact and permeate to the fibre material so as to doublicated solves the problem that the whole-cotton fabric anti-alkali anti-oil waterproof finishing technical problem.","DONGSHENG AIKE SCI & TECHNOLOGY CO LTD J | JIANGSU DONGSHENG AIKE SCI & TECH CO LTD","2004-11-16","2004-11-16","2004-11-16",
"Water cooling device for jet looms, has weaving machine cycling oil pipeline and multi-arm cycling oil pipeline inserted from upper end of container and extend out from lower end of container after convolving in container","喷气织机的水冷装置","Water cooling device of jet looms","The device has a container (1) whose upper and lower ends are correspondingly installed with outlet and inlet pipeline (2) of the condensing water. A weaving machine cycling oil pipeline (3) and a multi-arm cycling oil pipeline (4) are inserted from an upper end of the container, and extend out from the lower end of the container after convolving in the container. Flowing direction of the cycling oil in the pipeline is opposite to the flow direction of the condensing water. | Water cooling device for use in jet looms. | The condensing water with low temperature is inputted from the lower end of the container and the condensing water with high temperature is outputted from the container, thus guaranteeing the temperature of the condensing water in container stabilizes the temperatures of the weaving machine cycling oil and multi-arm cycling oil, so as to be under the 30 centigrade to overcome the loom stare quality problem and equipment fast consumption caused by the high weaving machine oil temperature and multi-arm oil temperature when the jet loom is running with high speed. | The drawing shows a perspective view of a water cooling device.1Container2Inlet pipeline3Weaving machine cycling oil pipeline4Multi-arm cycling oil pipeline","本实用新型提供一种喷气织机的水冷装置，其特征在于：增设盛有冷凝水的容器，其上、下端对应设有冷凝水的出、进管路，织机循环油管路及多臂循环油管路分别从容器的上端探入，在容器内盘旋后，自容器的下端伸出，循环油在管路中的流向与冷凝水的流向相反。这样高温的织机循环油及多臂循环油从管道自容器的上端探入，在容器内盘旋与冷凝水充分换热降温后，自容器的下端输出，而温度低的冷凝水也不断自容器的下端输入、高温的冷凝水不断自容器的上端输出，能有效保证容器内冷凝水的温度、使织机循环油温和多臂循环油温稳定在30℃以下，有效的克服了喷气织机高速运转时，导致的织机油温和多臂油温偏高引起的坯布质量问题和设备损耗过快问题得到解决。","The utility model claims a water cooling device of jet looms; wherein it is added with container with condensing water whose upper and lower ends are correspondingly set with outlet and inlet pipeline of the condensing water; the weaving machine cycling oil pipeline and multi-arm cycling oil pipeline are inserted from the upper end of the container, and they extend out from the lower end of the container after convolving in the container; the flowing direction of the cycling oil in the pipeline is opposite to the flow direction of the condensing water. The weaving machine cycling oil with high temperature and multi-arm cycling oil are inserted from the upper end of the container and the pipeline, and it is outputted from the lower end of the container after convolving in the container and doing heat exchanging and temperature reducing with the condensing water; but the condensing water with low temperature is inputted from the lower end from the container and the condensing water with high temperature is outputted from the container, which can efficiently guarantee the temperature of the condensing water in container to make the weaving machine cycling oil temperature and multi-arm cycling oil temperature be stable under the 30 centigrade to efficiently overcome the loom stare quality problem and equipment fast consumption caused by the high weaving machine oil temperature and multi-arm oil temperature when the jet looms is running with high speed.","LUTAI TEXTILE CO LTD","2007-07-17","2007-07-17","2007-07-17",
"Bidirectional elastic trousers, has longitudes and latitudes provided with spandex fibers and textile fibers that are wound out of spandex fibers, where trouser is made of fabrics with elasticity on warp direction and across warp","双向弹力裤","Bidirectional elastic trousers","The trouser (1) has longitudes and latitudes provided with spandex fibers i.e. lycra fiber continuous yarns, and textile fibers that are wound out of the spandex fibers, where the trousers is made of fabrics e.g. tabby fabrics or twill fabrics tabby fabrics or satin fabrics. The fabric has elasticity on warp direction and across warp. The textile fibers are formed through mixing cotton fibers and viscose fibers. The trousers are sewed with waist heads (11), where the heads are made of elastic lapping cloths. | Bidirectional elastic trousers. | The trousers can be freely stretched. The trousers avoids distort and crinkle, harm to human body and generation of fatigue. The trousers has excellent sweat absorption and ventilation property. The trouser is easy to clean, comfortable. | The drawing shows front view of a bidirectional elastic trousers.1Trousers11Waist heads","本实用新型公开了一种双向弹力裤，涉及弹力裤体，所述弹力裤体是由经向和纬向均具有弹力的面料制成，所述面料包括按规律相互沉浮交织在一起的经线和纬线，经线和纬线包括弹性纤维和缠绕包覆在弹性纤维外侧的纺织纤维。本实用新型具有可自由拉伸，不变形、不起皱和不对人的身体产生伤害以及吸汗透气性好且易洗涤等特点，穿着时称心舒适而且不易产生疲劳，非常适宜于人们的穿着。","The utility model claims a sort of bidirectional elastic trousers, referring to elastic trousers. Said elastic trousers are made of fabrics having elasticity on warp direction and across warp. Said fabrics including longitudes and latitudes interweaved ups and downs regularly. The longitudes and latitudes comprise spandex fibres and texitle fibres winded out of the spandex fibres. The utility model can be stretched freely, does not distort and crinkle, will not harm to human body, sweat absorption and ventilation property are excellent and is easy to clean. It is comfortable and is not easy to generate fatigue, and exceedingly adapted for people to dress.","SHANDONG YELIYA GARMENT GROUP CO","2007-07-12","2007-07-12","2007-07-12",
